District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
MATARA,3964.0,3289.0,8918.0,16171.0,3907.0,3200.0,8680.0,15787.0,4097.0,3439.0,3491.0,3631.0,12464.0,45251.0,2008-2009  Maha.csv,Maha,2008-2009
RATNAPURA,1983.0,7029.0,3983.0,12995.0,1979.0,7019.0,3968.0,12965.0,4772.0,3364.0,2980.0,3462.0,11021.0,38149.0,2008-2009  Maha.csv,Maha,2008-2009
KEGALLE,0.0,2627.0,5552.0,8179.0,0.0,2605.0,5484.0,8089.0,0.0,3374.0,3886.0,3721.0,7578.0,28195.0,2008-2009  Maha.csv,Maha,2008-2009
KURUNEGALA,13343.0,34561.0,29387.0,77291.0,13342.0,34479.0,28991.0,76812.0,4555.0,4104.0,3463.0,3940.0,76812.0,302664.0,2008-2009  Maha.csv,Maha,2008-2009
PUTTALAM,7695.0,9988.0,1998.0,19680.0,7684.0,9971.0,1886.0,19541.0,4354.0,3751.0,3624.0,3976.0,16610.0,66038.0,2008-2009  Maha.csv,Maha,2008-2009
KANDY,4136.0,5733.0,4202.0,14071.0,4121.0,5627.0,3746.0,13495.0,5103.0,3262.0,3059.0,3768.0,10672.0,40208.0,2008-2009  Maha.csv,Maha,2008-2009
MATALE,6043.0,8661.0,4669.0,19374.0,5987.0,8504.0,4468.0,18958.0,4324.0,3548.0,3403.0,3759.0,17049.0,64090.0,2008-2009  Maha.csv,Maha,2008-2009
NUWARAELIYA,1129.0,4238.0,208.0,5576.0,1126.0,4233.0,208.0,5567.0,4329.0,4098.0,4098.0,4145.0,3137.0,13002.0,2008-2009  Maha.csv,Maha,2008-2009
BADULLA,10944.0,10371.0,5910.0,27225.0,10808.0,8803.0,506.0,20117.0,5223.0,3697.0,2370.0,4484.0,17099.0,76667.0,2008-2009  Maha.csv,Maha,2008-2009
MONARAGALA,6854.0,7979.0,11696.0,26529.0,6623.0,5525.0,1470.0,13618.0,4942.0,4055.0,3377.0,4413.0,13346.0,58892.0,2008-2009  Maha.csv,Maha,2008-2009
JAFFNA,0.0,0.0,8171.0,8171.0,0.0,0.0,7297.0,7297.0,0.0,0.0,2506.0,2506.0,6476.0,16230.0,2008-2009  Maha.csv,Maha,2008-2009
KILLINOCHCHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009  Maha.csv,Maha,2008-2009
VAVUNIYA,2257.0,4109.0,343.0,6709.0,2252.0,4101.0,343.0,6697.0,4763.0,4637.0,4822.0,4689.0,6319.0,29627.0,2008-2009  Maha.csv,Maha,2008-2009
MULATIVU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-2009  Maha.csv,Maha,2008-2009
ANURADHAPURA,29488.0,44355.0,6880.0,80724.0,29447.0,43163.0,6549.0,79159.0,5083.0,4522.0,3341.0,4633.0,63652.0,294898.0,2008-2009  Maha.csv,Maha,2008-2009
POLONNARUWA,53569.0,2270.0,1459.0,57298.0,53472.0,2151.0,1306.0,56929.0,5280.0,4680.0,3783.0,5223.0,50359.0,263014.0,2008-2009  Maha.csv,Maha,2008-2009
TRINCOMALEE,14493.0,3211.0,5310.0,23014.0,14493.0,3211.0,5265.0,22969.0,4729.0,4419.0,3758.0,4463.0,21338.0,95236.0,2008-2009  Maha.csv,Maha,2008-2009
BATTICALOA,19198.0,1718.0,24989.0,45905.0,19185.0,1711.0,24958.0,45854.0,3656.0,3577.0,3630.0,3639.0,40471.0,147278.0,2008-2009  Maha.csv,Maha,2008-2009
AMPARA,60453.0,2302.0,7224.0,69979.0,60216.0,2068.0,6164.0,68448.0,5295.0,4151.0,4152.0,5158.0,65416.0,337390.0,2008-2009  Maha.csv,Maha,2008-2009
HAMBANTOTA,19516.0,4578.0,1480.0,25575.0,19321.0,4514.0,1480.0,25315.0,5445.0,4987.0,4281.0,5295.0,22117.0,117115.0,2008-2009  Maha.csv,Maha,2008-2009
UDA_WALAWE,11517.0,0.0,0.0,11517.0,11517.0,0.0,0.0,11517.0,6517.0,0.0,0.0,6517.0,11287.0,73557.0,2008-2009  Maha.csv,Maha,2008-2009
MAHAWELI_H,24849.0,0.0,0.0,24849.0,24849.0,0.0,0.0,24849.0,6036.0,0.0,0.0,6036.0,22285.0,134501.0,2008-2009  Maha.csv,Maha,2008-2009
COLOMBO,787.0,87.0,2741.0,3615.0,87.0,782.0,2734.0,3603.0,2957.0,2957.0,3018.0,3004.0,3063.0,9200.0,2009 Yala.csv,Yala,2009
GAMPAHA,2061.0,1665.0,4380.0,8106.0,1665.0,2061.0,4369.0,8095.0,3680.0,3439.0,3257.0,3390.0,6881.0,23329.0,2009 Yala.csv,Yala,2009
KALUTARA,2034.0,126.0,10712.0,12872.0,126.0,2027.0,10709.0,12863.0,3033.0,2513.0,2969.0,2898.0,11866.0,34387.0,2009 Yala.csv,Yala,2009
GALLE,65.0,0.0,13054.0,13120.0,0.0,63.0,13020.0,13084.0,0.0,3013.0,2997.0,2997.0,10239.0,30684.0,2009 Yala.csv,Yala,2009
MATARA,3233.0,3785.0,8705.0,15722.0,3616.0,3231.0,8691.0,15538.0,4167.0,3624.0,3405.0,3628.0,12268.0,44501.0,2009 Yala.csv,Yala,2009
RATNAPURA,6466.0,1977.0,3535.0,11978.0,1975.0,6401.0,3464.0,11840.0,5118.0,3099.0,2555.0,3277.0,10064.0,32980.0,2009 Yala.csv,Yala,2009
KEGALLE,2447.0,0.0,5171.0,7617.0,0.0,2446.0,5164.0,7610.0,0.0,3449.0,3338.0,3374.0,7129.0,24051.0,2009 Yala.csv,Yala,2009
KURUNEGALA,20370.0,7411.0,21134.0,48916.0,7005.0,19259.0,20253.0,46516.0,4477.0,3467.0,3270.0,3534.0,46516.0,164376.0,2009 Yala.csv,Yala,2009
PUTTALAM,6838.0,7221.0,1199.0,15258.0,6661.0,7018.0,1152.0,14831.0,4037.0,3382.0,3086.0,3653.0,12606.0,46053.0,2009 Yala.csv,Yala,2009
KANDY,3326.0,3713.0,2223.0,9262.0,3714.0,3279.0,2192.0,9185.0,4160.0,3158.0,3082.0,3545.0,7263.0,25747.0,2009 Yala.csv,Yala,2009
MATALE,3316.0,2562.0,528.0,6406.0,2533.0,3132.0,499.0,6163.0,4117.0,3386.0,2842.0,3642.0,5543.0,20188.0,2009 Yala.csv,Yala,2009
NUWARAELIYA,2176.0,656.0,52.0,2884.0,653.0,2154.0,51.0,2858.0,3070.0,2867.0,2867.0,2913.0,1611.0,4692.0,2009 Yala.csv,Yala,2009
BADULLA,3693.0,4419.0,56.0,8168.0,4419.0,3498.0,56.0,7973.0,5352.0,3829.0,3829.0,4673.0,6777.0,31671.0,2009 Yala.csv,Yala,2009
MONARAGALA,3718.0,4369.0,253.0,8341.0,4101.0,3138.0,86.0,7325.0,3937.0,3274.0,3274.0,3645.0,7179.0,26167.0,2009 Yala.csv,Yala,2009
JAFFNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009 Yala.csv,Yala,2009
KILLINOCHCHI**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009 Yala.csv,Yala,2009
VAVUNIYA,211.0,42.0,0.0,253.0,30.0,179.0,0.0,209.0,4430.0,3924.0,0.0,3998.0,197.0,789.0,2009 Yala.csv,Yala,2009
MULATIVU**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009 Yala.csv,Yala,2009
MANNAR**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009 Yala.csv,Yala,2009
ANURADHAPURA,6122.0,12040.0,65.0,18226.0,11881.0,5837.0,63.0,17781.0,4431.0,4415.0,4415.0,4426.0,14297.0,63275.0,2009 Yala.csv,Yala,2009
POLONNARUWA,1774.0,35089.0,0.0,36862.0,34859.0,1724.0,0.0,36583.0,4750.0,4473.0,0.0,4737.0,32362.0,153302.0,2009 Yala.csv,Yala,2009
TRINCOMALEE,1376.0,12574.0,0.0,13950.0,12572.0,1376.0,0.0,13947.0,4864.0,4726.0,4726.0,4851.0,12957.0,62850.0,2009 Yala.csv,Yala,2009
BATTICALOA,2255.0,13309.0,1510.0,17073.0,12376.0,2134.0,1510.0,16020.0,4262.0,4555.0,3071.0,4189.0,14140.0,59227.0,2009 Yala.csv,Yala,2009
AMPARA,1075.0,44981.0,171.0,46227.0,44082.0,1053.0,168.0,45303.0,4994.0,3895.0,3895.0,4964.0,43296.0,214941.0,2009 Yala.csv,Yala,2009
HAMBANTOTA,3010.0,17768.0,1127.0,21905.0,17734.0,3002.0,1117.0,21853.0,5264.0,4226.0,3227.0,5017.0,19093.0,95799.0,2009 Yala.csv,Yala,2009
UDA_WALAWE,0.0,12188.0,0.0,12188.0,11944.0,0.0,0.0,11944.0,6105.0,0.0,0.0,6105.0,11705.0,71457.0,2009 Yala.csv,Yala,2009
MAHAWELI_H,0.0,6481.0,0.0,6481.0,6481.0,0.0,0.0,6481.0,4821.0,0.0,0.0,4821.0,5812.0,28020.0,2009 Yala.csv,Yala,2009
COLOMBO,119.0,1010.0,3635.0,4764.0,119.0,1010.0,3634.0,4763.0,3466.0,3352.0,3549.0,3505.0,4048.0,14190.0,2009-2010 Maha.csv,Maha,2009-2010
